Date,Open,High,Low,Close,Adj Close,Volume
5/15/2018,1013.525024,1032.5,1013.349976,1018.900024,999.619019,4913342
5/16/2018,1015.275024,1024.5,1008.575012,1011.674988,992.530701,3420802
5/17/2018,1011.924988,1022.224976,1006.25,1013.875,994.689087,3307738
5/18/2018,1012.349976,1012.349976,1001.75,1006.075012,987.036682,2608730
5/21/2018,1008.049988,1010.5,993.025024,996.525024,977.66748,2424054
5/22/2018,999.349976,1006.974976,992.75,994.950012,976.122253,1980186
5/23/2018,993.900024,997,981.700012,983.75,965.134155,2863146
5/24/2018,983.549988,995.125,978.174988,993,974.209106,2260372
5/25/2018,995,1008,994.950012,1004.349976,985.344299,2379794
5/28/2018,1003.900024,1026,1003,1021.099976,1001.777344,2551970
5/29/2018,1019,1026.349976,1014.400024,1016.299988,997.068176,1675622
5/30/2018,1009.849976,1026.5,1008.150024,1024.175049,1004.79425,2433498
5/31/2018,1050,1080,1040,1069.724976,1056.185425,19819596
6/1/2018,1058,1069,1050.5,1055.300049,1041.942993,10575678
6/4/2018,1075,1078.5,1018.974976,1023.099976,1010.150513,44398162
6/5/2018,1025,1033.474976,1011.5,1031.800049,1018.740479,8552730
6/6/2018,1030.099976,1032.400024,1022.5,1028.675049,1015.654968,4891000
6/7/2018,1036.599976,1039.900024,1026.599976,1031.099976,1018.049194,5281948
6/8/2018,1029.5,1030.625,1017.5,1024.675049,1011.705627,3090444
6/11/2018,1025.949951,1031.474976,1019.400024,1021.150024,1008.225281,3545594
6/12/2018,1025.949951,1026.349976,1019.200012,1021.924988,1008.990356,2617128
6/13/2018,1026,1027.400024,1012.049988,1015.724976,1002.868835,3948980
6/14/2018,1015,1022.5,1012.5,1018.700012,1005.806213,8463788
6/15/2018,1013,1019.450012,1011.150024,1014.799988,1001.955566,5440408
6/18/2018,1015.049988,1019.400024,1004.549988,1009.575012,996.796753,3743702
6/19/2018,1012.474976,1020.349976,1009.650024,1011.75,998.944214,5490576
6/20/2018,1013,1029,1012.5,1028.074951,1015.0625,4525856
6/21/2018,1030,1035.400024,1023.525024,1028.800049,1015.778381,6755352
6/22/2018,1028.474976,1044.400024,1024.925049,1041.675049,1028.490479,3924490
6/25/2018,1041.525024,1048.900024,1036.525024,1047.474976,1034.216919,3496168
6/26/2018,1043.025024,1051.5,1039.925049,1046.849976,1033.599976,4580966
6/27/2018,1046.5,1059.75,1045,1056.300049,1042.93042,9563402
6/28/2018,1057.5,1070,1055.599976,1065.425049,1051.939819,18766770
6/29/2018,1060.849976,1070,1052.550049,1054.224976,1040.881714,9729060
7/2/2018,1054.175049,1054.199951,1031.625,1036.625,1023.504333,4932438
7/3/2018,1036.625,1042.5,1032.800049,1035.099976,1021.998657,3431550
7/4/2018,1038.125,1054.025024,1034.5,1051.775024,1038.462524,3048996
7/5/2018,1052.5,1064.5,1046.275024,1061.875,1048.434814,4867984
7/6/2018,1056.650024,1067.775024,1055.675049,1057.574951,1044.189087,4060672
7/9/2018,1060.925049,1065,1053.875,1062.824951,1049.372559,3091148
7/10/2018,1064.949951,1074.800049,1062.5,1073.199951,1059.616333,5475368
7/11/2018,1072.525024,1077.849976,1067.400024,1074.125,1060.529785,2928960
7/12/2018,1076.449951,1089.925049,1076,1082.974976,1069.2677,4010334
7/13/2018,1084.199951,1095.400024,1081.550049,1090.449951,1076.648071,3580594
7/16/2018,1089.699951,1095.025024,1081.875,1084.425049,1070.699341,4508668
7/17/2018,1081.625,1090.5,1081.625,1088.375,1074.599243,3180962
7/18/2018,1093.5,1110,1086.824951,1088.099976,1074.327759,8730136
7/19/2018,1091.5,1096.75,1085.5,1093.050049,1079.215088,2652388
